Time_Bands,Speciality_Name,Hospital_Group,Archive_Date,Total
< 1 Year,Radiology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,6
< 1 Year,Respiratory Medicine,RCSI  Hospitals Group,2014-01-30T00:00:00Z,124
< 1 Year,Small Volume Specialities,RCSI  Hospitals Group,2014-01-30T00:00:00Z,13
< 1 Year,Urology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,1168
> 1 Year,Urology,RCSI  Hospitals Group,2014-01-30T00:00:00Z,1
< 1 Year,Vascular Surgery,RCSI  Hospitals Group,2014-01-30T00:00:00Z,214
< 1 Year,Cardio-Thoracic Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,58
< 1 Year,Cardiology,Saolta University Health Care Group,2014-01-30T00:00:00Z,673
< 1 Year,Dental Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,108
< 1 Year,Dermatology,Saolta University Health Care Group,2014-01-30T00:00:00Z,17
< 1 Year,Endocrinology,Saolta University Health Care Group,2014-01-30T00:00:00Z,14
< 1 Year,Gastro-Enterology,Saolta University Health Care Group,2014-01-30T00:00:00Z,433
< 1 Year,General Medicine,Saolta University Health Care Group,2014-01-30T00:00:00Z,478
< 1 Year,General Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,2722
> 1 Year,General Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,5
< 1 Year,Gynaecology,Saolta University Health Care Group,2014-01-30T00:00:00Z,690
> 1 Year,Gynaecology,Saolta University Health Care Group,2014-01-30T00:00:00Z,1
< 1 Year,Maxillo-Facial,Saolta University Health Care Group,2014-01-30T00:00:00Z,29
< 1 Year,Neurology,Saolta University Health Care Group,2014-01-30T00:00:00Z,61
< 1 Year,Ophthalmology,Saolta University Health Care Group,2014-01-30T00:00:00Z,965
> 1 Year,Ophthalmology,Saolta University Health Care Group,2014-01-30T00:00:00Z,5
< 1 Year,Oral Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,386
< 1 Year,Orthopaedics,Saolta University Health Care Group,2014-01-30T00:00:00Z,1727
> 1 Year,Orthopaedics,Saolta University Health Care Group,2014-01-30T00:00:00Z,2
< 1 Year,Otolaryngology (ENT),Saolta University Health Care Group,2014-01-30T00:00:00Z,652
< 1 Year,Paediatrics,Saolta University Health Care Group,2014-01-30T00:00:00Z,5
< 1 Year,Pain Relief,Saolta University Health Care Group,2014-01-30T00:00:00Z,432
> 1 Year,Pain Relief,Saolta University Health Care Group,2014-01-30T00:00:00Z,2
< 1 Year,Plastic Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,987
> 1 Year,Plastic Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,4
< 1 Year,Respiratory Medicine,Saolta University Health Care Group,2014-01-30T00:00:00Z,71
< 1 Year,Rheumatology,Saolta University Health Care Group,2014-01-30T00:00:00Z,135
< 1 Year,Small Volume Specialities,Saolta University Health Care Group,2014-01-30T00:00:00Z,21
< 1 Year,Urology,Saolta University Health Care Group,2014-01-30T00:00:00Z,653
> 1 Year,Urology,Saolta University Health Care Group,2014-01-30T00:00:00Z,4
< 1 Year,Vascular Surgery,Saolta University Health Care Group,2014-01-30T00:00:00Z,79
< 1 Year,Cardio-Thoracic Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,39
< 1 Year,Cardiology,South/South West Hospital Group,2014-01-30T00:00:00Z,183
< 1 Year,Dermatology,South/South West Hospital Group,2014-01-30T00:00:00Z,8
< 1 Year,Gastro-Enterology,South/South West Hospital Group,2014-01-30T00:00:00Z,433
< 1 Year,Gastro-Intestinal Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,33
< 1 Year,General Medicine,South/South West Hospital Group,2014-01-30T00:00:00Z,172
< 1 Year,General Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,1251
> 1 Year,General Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,8
< 1 Year,Geriatric Medicine,South/South West Hospital Group,2014-01-30T00:00:00Z,6
< 1 Year,Gynaecology,South/South West Hospital Group,2014-01-30T00:00:00Z,712
> 1 Year,Gynaecology,South/South West Hospital Group,2014-01-30T00:00:00Z,6
< 1 Year,Hepato-Biliary Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,60
< 1 Year,Maxillo-Facial,South/South West Hospital Group,2014-01-30T00:00:00Z,6
< 1 Year,Neurosurgery,South/South West Hospital Group,2014-01-30T00:00:00Z,28
< 1 Year,Obstetrics/Gynaecology,South/South West Hospital Group,2014-01-30T00:00:00Z,48
< 1 Year,Ophthalmology,South/South West Hospital Group,2014-01-30T00:00:00Z,1681
> 1 Year,Ophthalmology,South/South West Hospital Group,2014-01-30T00:00:00Z,3
< 1 Year,Orthopaedics,South/South West Hospital Group,2014-01-30T00:00:00Z,964
< 1 Year,Otolaryngology (ENT),South/South West Hospital Group,2014-01-30T00:00:00Z,622
> 1 Year,Otolaryngology (ENT),South/South West Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Pain Relief,South/South West Hospital Group,2014-01-30T00:00:00Z,498
< 1 Year,Plastic Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,280
> 1 Year,Plastic Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Respiratory Medicine,South/South West Hospital Group,2014-01-30T00:00:00Z,62
< 1 Year,Small Volume Specialities,South/South West Hospital Group,2014-01-30T00:00:00Z,64
> 1 Year,Small Volume Specialities,South/South West Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Urology,South/South West Hospital Group,2014-01-30T00:00:00Z,465
< 1 Year,Vascular Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,287
> 1 Year,Vascular Surgery,South/South West Hospital Group,2014-01-30T00:00:00Z,1
< 1 Year,Anaesthetics,University of Limerick Hospital Group,2014-01-30T00:00:00Z,218
< 1 Year,Cardiology,University of Limerick Hospital Group,2014-01-30T00:00:00Z,27
< 1 Year,Dental Surgery,University of Limerick Hospital Group,2014-01-30T00:00:00Z,34
< 1 Year,Gastro-Enterology,University of Limerick Hospital Group,2014-01-30T00:00:00Z,102
< 1 Year,General Medicine,University of Limerick Hospital Group,2014-01-30T00:00:00Z,297
< 1 Year,General Surgery,University of Limerick Hospital Group,2014-01-30T00:00:00Z,1165
< 1 Year,Gynaecology,University of Limerick Hospital Group,2014-01-30T00:00:00Z,122
< 1 Year,Maxillo-Facial,University of Limerick Hospital Group,2014-01-30T00:00:00Z,503
< 1 Year,Ophthalmology,University of Limerick Hospital Group,2014-01-30T00:00:00Z,610
< 1 Year,Orthopaedics,University of Limerick Hospital Group,2014-01-30T00:00:00Z,127
< 1 Year,Otolaryngology (ENT),University of Limerick Hospital Group,2014-01-30T00:00:00Z,416
< 1 Year,Plastic Surgery,University of Limerick Hospital Group,2014-01-30T00:00:00Z,140
< 1 Year,Small Volume Specialities,University of Limerick Hospital Group,2014-01-30T00:00:00Z,18
< 1 Year,Urology,University of Limerick Hospital Group,2014-01-30T00:00:00Z,440
< 1 Year,Vascular Surgery,University of Limerick Hospital Group,2014-01-30T00:00:00Z,106
< 1 Year,Cardio-Thoracic Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,28
> 1 Year,Cardio-Thoracic Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,1
< 1 Year,Cardiology,Children's Health Ireland,2014-01-31T00:00:00Z,525
> 1 Year,Cardiology,Children's Health Ireland,2014-01-31T00:00:00Z,395
< 1 Year,Child/Adolescent Psychiatry,Children's Health Ireland,2014-01-31T00:00:00Z,12
< 1 Year,Clinical (Medical) Genetics,Children's Health Ireland,2014-01-31T00:00:00Z,26
< 1 Year,Dental Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,83
< 1 Year,Dermatology,Children's Health Ireland,2014-01-31T00:00:00Z,1926
> 1 Year,Dermatology,Children's Health Ireland,2014-01-31T00:00:00Z,5
< 1 Year,Diabetes Mellitus,Children's Health Ireland,2014-01-31T00:00:00Z,7
< 1 Year,Endocrinology,Children's Health Ireland,2014-01-31T00:00:00Z,87
< 1 Year,General Medicine,Children's Health Ireland,2014-01-31T00:00:00Z,609
> 1 Year,General Medicine,Children's Health Ireland,2014-01-31T00:00:00Z,11
< 1 Year,General Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,2658
> 1 Year,General Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,39
< 1 Year,Gynaecology,Children's Health Ireland,2014-01-31T00:00:00Z,102
< 1 Year,Haematology,Children's Health Ireland,2014-01-31T00:00:00Z,30
< 1 Year,Infectious Diseases,Children's Health Ireland,2014-01-31T00:00:00Z,115
< 1 Year,Metabolic Medicine,Children's Health Ireland,2014-01-31T00:00:00Z,72
< 1 Year,Neonatology,Children's Health Ireland,2014-01-31T00:00:00Z,45
< 1 Year,Nephrology,Children's Health Ireland,2014-01-31T00:00:00Z,186
> 1 Year,Nephrology,Children's Health Ireland,2014-01-31T00:00:00Z,7
< 1 Year,Neurology,Children's Health Ireland,2014-01-31T00:00:00Z,844
> 1 Year,Neurology,Children's Health Ireland,2014-01-31T00:00:00Z,15
< 1 Year,Neurosurgery,Children's Health Ireland,2014-01-31T00:00:00Z,26
< 1 Year,Ophthalmology,Children's Health Ireland,2014-01-31T00:00:00Z,2355
> 1 Year,Ophthalmology,Children's Health Ireland,2014-01-31T00:00:00Z,43
< 1 Year,Orthopaedics,Children's Health Ireland,2014-01-31T00:00:00Z,1958
> 1 Year,Orthopaedics,Children's Health Ireland,2014-01-31T00:00:00Z,56
< 1 Year,Other,Children's Health Ireland,2014-01-31T00:00:00Z,7
< 1 Year,Otolaryngology (ENT),Children's Health Ireland,2014-01-31T00:00:00Z,2285
> 1 Year,Otolaryngology (ENT),Children's Health Ireland,2014-01-31T00:00:00Z,99
< 1 Year,Paed Cardiology,Children's Health Ireland,2014-01-31T00:00:00Z,1970
> 1 Year,Paed Cardiology,Children's Health Ireland,2014-01-31T00:00:00Z,710
< 1 Year,Paed Endocrinology,Children's Health Ireland,2014-01-31T00:00:00Z,142
< 1 Year,Paed Gastro-Enterol,Children's Health Ireland,2014-01-31T00:00:00Z,276
< 1 Year,Paed Haematology,Children's Health Ireland,2014-01-31T00:00:00Z,140
< 1 Year,Paed Nephrology,Children's Health Ireland,2014-01-31T00:00:00Z,233
< 1 Year,Paed Oncology,Children's Health Ireland,2014-01-31T00:00:00Z,1
< 1 Year,Paediatrics,Children's Health Ireland,2014-01-31T00:00:00Z,1379
> 1 Year,Paediatrics,Children's Health Ireland,2014-01-31T00:00:00Z,21
< 1 Year,Pathology,Children's Health Ireland,2014-01-31T00:00:00Z,29
< 1 Year,Plastic Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,900
> 1 Year,Plastic Surgery,Children's Health Ireland,2014-01-31T00:00:00Z,15
< 1 Year,Respiratory Medicine,Children's Health Ireland,2014-01-31T00:00:00Z,496
> 1 Year,Respiratory Medicine,Children's Health Ireland,2014-01-31T00:00:00Z,4
< 1 Year,Rheumatology,Children's Health Ireland,2014-01-31T00:00:00Z,282
> 1 Year,Rheumatology,Children's Health Ireland,2014-01-31T00:00:00Z,8
< 1 Year,Urology,Children's Health Ireland,2014-01-31T00:00:00Z,497
> 1 Year,Urology,Children's Health Ireland,2014-01-31T00:00:00Z,35
< 1 Year,Anaesthetics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,565
> 1 Year,Anaesthetics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,8
< 1 Year,Cardio-Thoracic Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,61
< 1 Year,Cardiology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1881
> 1 Year,Cardiology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,23
< 1 Year,Chemical Pathology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,101
> 1 Year,Chemical Pathology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,2
< 1 Year,Clinical (Medical) Genetics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,193
< 1 Year,Clinical Immunology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,82
< 1 Year,Clinical Neurophysiology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,867
> 1 Year,Clinical Neurophysiology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,7
< 1 Year,Dental Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,3
< 1 Year,Dermatology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,3265
> 1 Year,Dermatology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,74
< 1 Year,Developmental Paediatrics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,211
< 1 Year,Diabetes Mellitus,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,176
< 1 Year,Endocrinology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,927
> 1 Year,Endocrinology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,9
< 1 Year,Gastro-Enterology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1619
> 1 Year,Gastro-Enterology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1
< 1 Year,General Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,2029
> 1 Year,General Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,10
< 1 Year,General Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,4489
> 1 Year,General Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,40
< 1 Year,Geriatric Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,353
< 1 Year,Gynaecology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1928
> 1 Year,Gynaecology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,39
< 1 Year,Haematology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,917
> 1 Year,Haematology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,3
< 1 Year,Histopathology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,10
< 1 Year,Infectious Diseases,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,27
< 1 Year,Maxillo-Facial,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,417
< 1 Year,Nephrology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,282
< 1 Year,Neurology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1598
> 1 Year,Neurology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,48
< 1 Year,Oncology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,60
< 1 Year,Ophthalmology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1187
> 1 Year,Ophthalmology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,28
< 1 Year,Orthopaedics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,6673
> 1 Year,Orthopaedics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,159
< 1 Year,Other,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,167
> 1 Year,Other,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1
< 1 Year,Otolaryngology (ENT),Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,4791
> 1 Year,Otolaryngology (ENT),Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,235
< 1 Year,Paed Cardiology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,291
> 1 Year,Paed Cardiology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,18
< 1 Year,Paed Endocrinology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,54
< 1 Year,Paed Gastro-Enterol,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,354
> 1 Year,Paed Gastro-Enterol,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1
< 1 Year,Paed Orthopaedic,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,57
< 1 Year,Paediatric Dermatology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,303
> 1 Year,Paediatric Dermatology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1
< 1 Year,Paediatric ENT,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1301
> 1 Year,Paediatric ENT,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,49
< 1 Year,Paediatric Neurology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,62
< 1 Year,Paediatric Respiratory Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,365
> 1 Year,Paediatric Respiratory Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1
< 1 Year,Paediatric Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,282
< 1 Year,Paediatrics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,993
> 1 Year,Paediatrics,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,4
< 1 Year,Pain Relief,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,273
< 1 Year,Palliative Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,19
< 1 Year,Plastic Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1303
> 1 Year,Plastic Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,2
< 1 Year,Psychiatry,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,105
< 1 Year,Radiotherapy,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,21
< 1 Year,Rehabilitation Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,19
< 1 Year,Respiratory Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,629
> 1 Year,Respiratory Medicine,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,3
< 1 Year,Rheumatology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1286
> 1 Year,Rheumatology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,14
< 1 Year,Urology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,3333
> 1 Year,Urology,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,86
< 1 Year,Vascular Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,1387
> 1 Year,Vascular Surgery,Dublin Midlands Hospital Group,2014-01-31T00:00:00Z,23
< 1 Year,Anaesthetics,Ireland East Hospital Group,2014-01-31T00:00:00Z,40
< 1 Year,Cardio-Thoracic Surgery,Ireland East Hospital Group,2014-01-31T00:00:00Z,107
< 1 Year,Cardiology,Ireland East Hospital Group,2014-01-31T00:00:00Z,2518
> 1 Year,Cardiology,Ireland East Hospital Group,2014-01-31T00:00:00Z,8
