Archive Date,Group,Hospital HIPE,Hospital,Specialty HIPE,Speciality,Case Type,Adult/Child,Age Profile,Time Bands,Total
2017-01-31,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+," 3-6 Months",22
2017-01-31,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+," 6-9 Months",29
2017-01-31,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+," 9-12 Months",33
2017-01-31,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Day Case,Adult,65+,12-15 Months,10
2017-01-31,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,16-64," 0-3 Months",1
2017-01-31,Dublin Midlands Hospital Group,0102,Naas General Hospital,5000,General Medicine,Inpatient,Adult,65+," 0-3 Months",2
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",72
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",33
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",33
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64," 9-12 Months",16
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,16-64,12-15 Months,3
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",23
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+," 3-6 Months",15
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+," 6-9 Months",10
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+," 9-12 Months",10
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Adult,65+,12-15 Months,1
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Child,0-15," 0-3 Months",1
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Day Case,Child,0-15," 3-6 Months",1
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,16-64," 3-6 Months",1
2017-01-31,Dublin Midlands Hospital Group,0201,Midland Regional Hospital Portlaoise,2600,General Surgery,Inpatient,Adult,16-64," 6-9 Months",1
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",86
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",28
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",16
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64," 9-12 Months",1
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,16-64,12-15 Months,1
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",23
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+," 3-6 Months",13
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+," 6-9 Months",8
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Adult,65+,15-18 Months,1
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2600,General Surgery,Day Case,Child,0-15," 0-3 Months",1
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64," 0-3 Months",44
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64," 3-6 Months",27
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64," 6-9 Months",28
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64," 9-12 Months",49
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64,12-15 Months,14
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,16-64,15-18 Months,2
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+," 0-3 Months",12
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+," 3-6 Months",6
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+," 6-9 Months",8
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+," 9-12 Months",7
2017-01-31,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Day Case,Adult,65+,12-15 Months,7
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0000,Small Volume Specialities,Day Case,Adult,16-64," 0-3 Months",2
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0000,Small Volume Specialities,Day Case,Adult,16-64," 3-6 Months",2
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 0-3 Months",502
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 3-6 Months",253
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 6-9 Months",32
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 9-12 Months",3
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 0-3 Months",116
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 3-6 Months",57
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 6-9 Months",13
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 9-12 Months",2
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",11
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",5
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",6
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,16-64," 9-12 Months",5
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",7
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+," 3-6 Months",1
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+," 6-9 Months",3
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Day Case,Adult,65+," 9-12 Months",1
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,65+," 0-3 Months",1
2017-01-31,Dublin Midlands Hospital Group,0904,St. James's Hospital,2600,General Surgery,Inpatient,Adult,65+," 3-6 Months",1
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0000,Small Volume Specialities,Inpatient,Adult,65+," 6-9 Months",1
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 0-3 Months",260
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 3-6 Months",174
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 6-9 Months",113
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 9-12 Months",86
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,12-15 Months,22
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,15-18 Months,6
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64,18+ Months,3
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 0-3 Months",86
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 3-6 Months",53
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 6-9 Months",32
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 9-12 Months",11
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,0700,Gastro-Enterology,Day Case,Adult,65+,15-18 Months,1
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",117
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",99
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",48
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,16-64," 9-12 Months",63
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,16-64,12-15 Months,10
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,16-64,15-18 Months,2
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",62
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,65+," 3-6 Months",27
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,65+," 6-9 Months",11
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,65+," 9-12 Months",10
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,65+,12-15 Months,3
2017-01-31,Dublin Midlands Hospital Group,1270,Tallaght Hospital,2600,General Surgery,Day Case,Adult,65+,15-18 Months,2
2017-01-31,Ireland East Hospital Group,0101,St. Columcille's Hospital,0000,Small Volume Specialities,Day Case,Adult,16-64," 0-3 Months",3
2017-01-31,Ireland East Hospital Group,0101,St. Columcille's Hospital,0000,Small Volume Specialities,Day Case,Adult,16-64," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0101,St. Columcille's Hospital,0000,Small Volume Specialities,Day Case,Adult,65+," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",29
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",3
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",19
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Inpatient,Adult,16-64," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,2600,General Surgery,Inpatient,Adult,65+," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,5000,General Medicine,Day Case,Adult,16-64," 0-3 Months",89
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,5000,General Medicine,Day Case,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0202,Midland Regional Hospital Mullingar,5000,General Medicine,Day Case,Adult,65+," 0-3 Months",38
2017-01-31,Ireland East Hospital Group,0403,Our Lady's Hospital Navan,0000,Small Volume Specialities,Day Case,Adult,65+," 0-3 Months",3
2017-01-31,Ireland East Hospital Group,0403,Our Lady's Hospital Navan,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",41
2017-01-31,Ireland East Hospital Group,0403,Our Lady's Hospital Navan,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0403,Our Lady's Hospital Navan,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0403,Our Lady's Hospital Navan,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",15
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,0700,Gastro-Enterology,Day Case,Adult,16-64," 0-3 Months",69
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,0700,Gastro-Enterology,Day Case,Adult,16-64," 3-6 Months",6
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,0700,Gastro-Enterology,Day Case,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,0700,Gastro-Enterology,Day Case,Adult,65+," 0-3 Months",38
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,0700,Gastro-Enterology,Day Case,Adult,65+," 3-6 Months",5
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,0700,Gastro-Enterology,Day Case,Adult,65+," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",154
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",136
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",81
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",43
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Adult,65+," 3-6 Months",25
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Adult,65+," 6-9 Months",19
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,2600,General Surgery,Day Case,Child,0-15," 0-3 Months",1
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,5000,General Medicine,Day Case,Adult,16-64," 0-3 Months",12
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,5000,General Medicine,Day Case,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,5000,General Medicine,Day Case,Adult,65+," 0-3 Months",2
2017-01-31,Ireland East Hospital Group,0601,St. Luke's General Hospital Kilkenny,5000,General Medicine,Day Case,Adult,65+," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",130
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",115
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Adult,16-64," 6-9 Months",64
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",32
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Adult,65+," 3-6 Months",21
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Adult,65+," 6-9 Months",28
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Child,0-15," 0-3 Months",1
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Day Case,Child,0-15," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,2600,General Surgery,Inpatient,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,16-64," 0-3 Months",44
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,16-64," 3-6 Months",38
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,16-64," 6-9 Months",33
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,16-64," 9-12 Months",3
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,65+," 0-3 Months",16
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,65+," 3-6 Months",2
2017-01-31,Ireland East Hospital Group,0605,Wexford General Hospital,5000,General Medicine,Day Case,Adult,65+," 6-9 Months",2
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 0-3 Months",1
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 3-6 Months",3
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 6-9 Months",2
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 3-6 Months",4
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 6-9 Months",3
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Day Case,Adult,16-64," 0-3 Months",28
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Day Case,Adult,16-64," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Day Case,Adult,16-64," 9-12 Months",3
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Day Case,Adult,65+," 0-3 Months",10
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Day Case,Adult,65+," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Inpatient,Adult,16-64," 0-3 Months",1
2017-01-31,Ireland East Hospital Group,0908,Mater Misericordiae University Hospital,2602,Gastro-Intestinal Surgery,Inpatient,Adult,65+," 6-9 Months",1
2017-01-31,Ireland East Hospital Group,0910,St. Vincent's University Hospital,0700,Gastro-Enterology,Day Case,Adult,16-64," 0-3 Months",38
2017-01-31,Ireland East Hospital Group,0910,St. Vincent's University Hospital,0700,Gastro-Enterology,Day Case,Adult,65+," 0-3 Months",8
2017-01-31,Ireland East Hospital Group,0910,St. Vincent's University Hospital,0700,Gastro-Enterology,Inpatient,Adult,65+," 0-3 Months",1
2017-01-31,Ireland East Hospital Group,0910,St. Vincent's University Hospital,0700,Gastro-Enterology,Inpatient,Adult,65+," 3-6 Months",1
2017-01-31,Ireland East Hospital Group,0910,St. Vincent's University Hospital,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",11
2017-01-31,Ireland East Hospital Group,0910,St. Vincent's University Hospital,2600,General Surgery,Day Case,Adult,65+," 0-3 Months",3
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,0700,Gastro-Enterology,Day Case,Adult,16-64," 0-3 Months",60
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,0700,Gastro-Enterology,Day Case,Adult,16-64," 3-6 Months",9
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,0700,Gastro-Enterology,Day Case,Adult,65+," 0-3 Months",24
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,0700,Gastro-Enterology,Day Case,Adult,65+," 3-6 Months",6
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,0700,Gastro-Enterology,Inpatient,Adult,16-64," 0-3 Months",1
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,2600,General Surgery,Day Case,Adult,16-64," 0-3 Months",344
2017-01-31,Ireland East Hospital Group,0912,St. Michael's Hospital Dun Laoghaire,2600,General Surgery,Day Case,Adult,16-64," 3-6 Months",29
